Loan no,Dependents,Graduate,Self_employed,bnf_income,co_bnf_income,loan_amt,loan_term,cred_hist,property_worth,property_area,loan_status
2108,1,0,0,2614,13128,28000,60,1,330000,1,1
2109,2,1,0,3017,14629,120000,180,1,77000,2,1
2110,3,1,0,12266,14697,20000,120,0,224000,0,0
2111,4,1,0,14012,5721,81000,240,0,17000,1,0
2112,0,0,1,8284,4346,21000,240,1,65000,2,1
2113,3,1,1,285,4471,113000,60,1,198000,2,1
2114,5,1,0,7197,12628,105000,60,0,146000,2,0
2115,2,1,1,12455,4956,24000,60,0,164000,2,1
2116,2,0,1,1148,8928,111000,180,1,6000,0,1
2117,0,0,1,73,14153,17000,240,1,28000,2,1
2118,5,1,1,9796,18763,13000,240,0,227000,0,0
2119,0,1,1,9771,19094,51000,60,0,267000,0,1
2120,4,0,0,14049,10077,19000,240,0,309000,2,0
2121,2,0,0,3761,6887,106000,60,1,195000,1,1
2122,4,1,1,12424,17643,8000,240,1,392000,1,1
2123,1,0,1,18401,5535,54000,180,0,197000,1,1
2124,1,1,1,8279,10986,4000,60,1,471000,1,1
2125,4,1,0,8545,852,59000,120,0,114000,1,0
2126,0,1,1,7034,13606,110000,60,1,54000,0,1
2127,5,0,1,2948,4195,6000,240,0,233000,1,0
2128,2,1,1,10383,19796,97000,180,1,316000,1,1
2129,1,0,0,11782,1221,33000,180,0,69000,1,0
2130,5,1,0,12940,11300,10000,240,1,288000,1,1
2131,1,0,1,4661,12545,41000,240,0,449000,0,0
2132,1,1,1,9215,9051,16000,60,1,58000,0,1
2133,1,1,0,3283,18211,75000,60,0,40000,0,0
2134,3,0,0,10390,5600,78000,60,1,457000,2,1
2135,3,1,1,19385,2829,62000,180,1,245000,2,1
2136,2,1,1,4320,10548,98000,240,1,439000,1,1
2137,5,0,0,8925,7309,125000,60,1,83000,0,0
2138,4,1,1,9299,4775,27000,120,1,304000,1,1
2139,2,0,1,1302,207,70000,180,1,132000,2,1
2140,2,0,1,11182,17896,139000,180,0,491000,1,1
2141,4,0,1,10687,6580,138000,60,1,204000,2,1
2142,1,1,1,3777,8605,74000,240,1,430000,2,1
2143,1,0,1,16314,4322,72000,120,1,60000,2,1
2144,5,1,0,3340,7412,112000,60,0,395000,1,0
2145,3,1,0,2294,1245,134000,180,1,8000,2,0
2146,0,0,1,17989,6968,28000,60,1,387000,1,1
2147,3,1,1,2900,13494,148000,120,1,246000,2,1
2148,3,0,1,14749,8871,56000,120,1,99000,0,0
2149,0,0,0,19590,1954,3000,120,1,103000,0,1
2150,2,1,0,19940,11682,51000,240,0,345000,2,1
2151,4,1,0,19225,462,95000,180,0,307000,2,0
2152,0,1,1,8396,5670,13000,240,0,209000,0,1
2153,3,0,1,5620,3090,99000,180,1,451000,1,1
2154,4,0,1,9995,12219,13000,240,1,339000,1,1
2155,4,1,0,10496,15395,129000,180,0,281000,1,0
2156,1,1,1,19620,1003,40000,120,0,27000,1,1
2157,0,0,1,13033,3692,47000,60,1,385000,2,1
2158,1,0,0,10088,1269,77000,60,1,204000,0,1
2159,4,0,1,13190,4287,14000,240,1,38000,2,1
2160,0,1,1,16313,7906,69000,120,1,301000,1,1
2161,5,0,1,13974,8424,65000,240,0,415000,1,0
2162,2,1,1,13199,2486,71000,60,0,134000,1,1
2163,1,1,1,10603,4003,110000,240,1,171000,2,1
2164,4,1,0,14269,10859,92000,60,0,485000,1,0
2165,0,0,0,8522,9454,48000,120,1,63000,1,1
2166,4,1,1,15222,11034,91000,240,1,383000,2,1
2167,5,1,0,12498,5025,24000,240,1,299000,1,1
2168,2,0,1,12812,15098,69000,240,1,21000,2,1
2169,0,1,0,2781,13917,75000,120,1,431000,1,1
2170,0,0,0,18169,11662,84000,60,0,287000,0,0
2171,3,1,0,4389,227,48000,120,0,342000,2,0
2172,1,0,0,33,10874,1000,120,0,189000,1,0
2173,5,0,1,9353,2918,147000,120,0,423000,1,0
2174,3,1,1,4694,14678,105000,120,0,312000,2,1
2175,0,1,0,912,3042,91000,180,0,19000,1,0
2176,3,1,0,7678,12646,126000,60,1,306000,1,1
2177,1,1,1,2540,12718,38000,240,1,350000,2,1
2178,5,0,1,15026,16680,50000,60,1,109000,0,0
2179,0,1,1,6689,4431,71000,120,1,350000,2,1
2180,0,0,1,7976,15375,106000,180,1,344000,1,1
2181,3,0,0,7015,5327,115000,60,0,37000,1,0
2182,2,0,1,11379,10255,14000,180,1,219000,2,1
2183,2,0,0,10670,17550,118000,180,1,78000,1,1
2184,0,1,1,7784,10841,130000,180,1,17000,2,1
2185,0,1,1,1218,7255,35000,60,0,279000,1,1
2186,2,1,1,10308,1833,83000,60,1,252000,0,1
2187,3,1,0,7951,13526,66000,240,1,132000,1,1
2188,2,1,1,6380,19357,110000,180,0,356000,1,1
2189,1,1,0,19750,1064,28000,120,0,479000,1,1
2190,1,0,1,6388,7881,39000,120,1,346000,1,1
2191,4,0,0,607,5395,116000,60,1,398000,1,0
2192,3,1,1,19492,12585,3000,180,1,455000,1,1
2193,2,1,0,1121,4631,132000,180,0,69000,2,1
2194,1,0,0,12759,2646,54000,180,1,280000,0,1
2195,2,0,0,9408,12068,90000,60,1,217000,0,1
2196,4,1,0,12517,2363,140000,120,0,41000,1,0
2197,3,0,1,9414,7501,147000,240,0,33000,2,0
2198,3,0,0,10852,19145,78000,120,0,122000,1,0
2199,4,0,1,18996,17693,111000,180,0,80000,1,0
2200,0,0,1,19978,2794,136000,180,1,341000,2,1
2201,1,0,1,4682,9417,20000,120,0,214000,1,1
2202,5,1,0,2965,10195,127000,180,1,260000,0,0
2203,5,0,1,14405,3813,51000,180,1,243000,1,1
2204,0,0,0,3534,14493,77000,60,0,109000,1,0
2205,2,0,1,7272,17179,132000,120,1,140000,2,1
2206,2,1,0,6794,8661,130000,120,1,215000,2,1
2207,0,0,1,1661,18617,31000,180,0,420000,2,1
2208,3,1,0,8562,11026,92000,120,0,491000,2,0
2209,0,0,1,5789,7978,92000,240,0,487000,1,1
2210,4,0,0,2982,14982,81000,60,1,432000,2,1
2211,1,0,1,12495,1128,62000,120,1,58000,2,1
2212,5,1,1,13757,16888,106000,60,0,139000,2,1
2213,1,0,0,1933,19984,100000,120,1,218000,2,1
2214,1,1,1,1680,16241,61000,180,1,443000,0,1
2215,1,0,1,3756,7573,88000,240,0,52000,1,1
2216,5,1,0,10807,5973,63000,120,0,104000,1,0
2217,0,0,1,10493,8953,8000,120,0,385000,1,1
2218,4,0,1,16595,5716,10000,180,0,425000,0,0
2219,5,1,1,17999,11001,86000,120,0,78000,0,0
2220,4,0,1,11118,3905,88000,240,1,298000,1,1
2221,3,0,0,12375,9159,28000,120,1,460000,1,0
2222,1,0,0,3135,11842,137000,180,1,251000,0,1
2223,4,0,0,7250,6910,78000,120,1,301000,2,1
2224,4,1,0,2609,9161,75000,180,0,395000,0,0
2225,5,1,0,11721,12657,143000,120,1,450000,1,1
2226,0,1,1,18950,11490,100000,180,0,236000,2,1
2227,5,1,1,5173,2756,28000,180,1,163000,1,1
2228,3,0,0,12312,1901,145000,120,0,11000,1,0
2229,1,1,0,6501,1791,128000,180,1,226000,1,1
2230,1,1,1,3040,1582,73000,60,1,191000,1,1
2231,2,0,0,5022,703,134000,120,1,20000,2,0
2232,4,0,0,12602,7746,18000,120,1,422000,1,0
2233,0,0,1,4451,18799,92000,60,1,369000,0,1
2234,4,0,1,13415,565,111000,240,1,478000,2,1
2235,3,1,0,14004,10231,21000,240,0,123000,0,0
2236,1,1,1,6900,13105,102000,120,1,13000,1,1
2237,5,0,0,1850,8212,59000,240,1,381000,0,0
2238,0,1,1,12700,15449,11000,60,0,368000,1,1
2239,1,1,0,3268,4168,48000,120,0,141000,0,0
2240,2,1,0,9641,6070,7000,180,0,185000,0,0
2241,2,0,1,11499,10802,94000,240,1,264000,1,1
2242,3,0,0,2912,4241,137000,120,1,253000,2,1
2243,1,0,0,1532,5024,97000,60,1,404000,1,1
2244,1,1,0,6941,12706,51000,60,1,495000,2,1
2245,0,1,1,5847,18019,104000,180,1,347000,2,1
2246,0,0,0,3099,9480,73000,180,1,188000,0,1
2247,3,1,1,5586,18595,112000,180,1,86000,1,1
2248,1,1,1,5209,602,73000,240,1,183000,2,1
2249,2,0,1,18692,14133,14000,120,1,132000,2,1
2250,4,1,0,6777,1181,20000,240,1,272000,2,1
2251,5,1,1,11486,2506,6000,240,1,368000,1,1
2252,3,0,0,1706,7190,100000,120,1,78000,2,1
2253,2,1,1,18203,553,91000,120,0,44000,2,1
2254,2,0,0,5608,19009,76000,240,0,336000,0,0
2255,5,0,0,476,2912,83000,240,1,48000,2,1
2256,5,1,1,10273,418,87000,60,0,83000,0,0
2257,2,1,1,15117,13398,3000,120,0,129000,0,1
2258,3,1,1,1019,6812,110000,120,1,161000,1,1
2259,0,1,1,12843,18468,7000,60,1,431000,0,1
2260,0,1,1,11156,16960,144000,240,0,134000,0,1
2261,4,1,1,3945,7076,96000,180,1,338000,0,1
2262,4,0,0,6698,11912,130000,60,0,452000,2,0
2263,2,0,1,14801,8617,89000,120,0,399000,2,1
2264,5,0,0,6620,14916,65000,240,1,475000,1,0
2265,5,0,0,8296,8977,147000,120,0,142000,0,0
2266,0,1,0,17328,8276,133000,180,1,278000,2,1
2267,1,0,1,2228,9593,102000,240,1,386000,2,1
2268,5,0,0,11734,1911,6000,60,1,88000,0,0
2269,4,0,0,15809,11248,146000,180,0,17000,1,0
2270,4,1,0,3116,10786,81000,240,0,346000,1,0
2271,3,1,0,6818,3661,36000,60,0,441000,1,0
2272,4,1,0,18178,8757,103000,120,0,313000,1,0
2273,5,0,1,17205,4741,27000,240,0,443000,1,0
2274,2,1,0,19488,3210,129000,180,1,190000,2,1
2275,1,1,1,9706,12247,147000,180,1,239000,2,1
2276,5,0,1,7687,12974,3000,120,0,273000,0,0
2277,5,0,0,18341,15146,107000,120,0,79000,2,0
2278,3,0,1,5973,13429,140000,240,1,279000,1,1
2279,4,0,1,3041,7833,61000,60,0,151000,0,0
2280,3,0,1,2348,648,85000,60,0,391000,0,0
2281,5,1,1,7447,12365,80000,180,1,493000,1,1
2282,4,0,1,4085,226,138000,180,0,356000,2,0
2283,0,1,1,2878,11883,60000,180,0,293000,0,1
2284,4,1,0,704,12604,35000,180,0,71000,2,0
2285,4,0,0,6453,5903,75000,240,0,64000,0,0
2286,4,1,1,13775,549,132000,60,0,139000,1,0
2287,1,1,0,2334,18329,46000,120,1,322000,0,1
2288,0,1,0,5171,19989,66000,240,1,333000,2,1
2289,1,1,1,9805,9670,3000,60,1,29000,0,1
2290,2,1,0,4599,10019,142000,60,1,296000,2,1
2291,1,1,0,10977,10754,6000,60,0,331000,1,1
2292,4,0,1,15707,11413,44000,240,0,194000,1,0
2293,0,1,0,9522,7260,106000,120,0,414000,0,0
2294,1,0,0,13123,1783,52000,60,1,155000,0,1
2295,1,0,1,1707,8539,89000,180,1,382000,2,1
2296,1,1,1,1585,5647,79000,240,0,295000,0,1
2297,4,1,1,6041,4943,87000,180,1,471000,0,1
2298,1,1,0,11663,15216,11000,120,1,414000,1,1
2299,1,0,0,7268,13929,6000,180,0,53000,1,0
2300,0,1,0,3249,19725,125000,240,1,95000,1,1
2301,4,1,1,13789,3439,128000,240,0,341000,2,1
2302,5,0,1,18970,19569,22000,60,0,378000,2,0
2303,5,1,0,9785,2986,84000,120,1,233000,1,1
2304,0,0,0,10589,8140,10000,180,0,377000,1,0
2305,4,1,0,16828,13571,138000,180,1,406000,1,1
2306,3,1,1,8231,14255,71000,60,0,445000,1,0
2307,1,0,0,16536,17005,119000,60,1,60000,2,1
2308,3,1,1,10843,2523,41000,120,0,484000,0,0
2309,3,1,1,2615,3460,92000,60,0,114000,2,1
2310,0,1,1,11485,13462,76000,60,1,386000,1,1
2311,3,0,1,3224,8886,1000,240,0,372000,1,0
2312,4,0,0,2738,10112,141000,120,0,481000,1,0
2313,2,1,0,7542,9599,37000,120,0,62000,2,1
2314,4,0,0,6439,7397,57000,60,1,321000,0,0
2315,5,0,0,15791,8283,52000,180,0,101000,0,0
2316,4,0,0,1521,1619,86000,60,1,233000,1,0
2317,0,0,0,4418,10552,40000,60,0,467000,2,1
2318,1,0,0,5684,2318,25000,180,1,311000,2,1
2319,4,0,1,5721,8938,53000,60,0,495000,0,0
2320,4,0,1,11912,12353,113000,180,1,376000,0,0
2321,4,1,0,5129,15138,100000,60,1,255000,1,1
2322,2,0,0,632,4439,31000,120,0,31000,2,1
2323,0,1,0,7288,9248,107000,180,0,54000,2,1
2324,0,1,0,10700,7210,44000,120,1,163000,0,1
2325,2,1,0,158,9864,30000,180,0,381000,2,1
2326,4,0,0,4458,19227,42000,240,1,432000,2,1
2327,5,1,1,15502,9491,128000,180,1,248000,0,1
2328,0,0,0,13432,4899,97000,240,0,287000,2,1
2329,4,0,0,3894,839,132000,120,1,140000,1,0
2330,1,1,0,4228,12426,130000,180,1,492000,1,1
2331,4,0,1,2629,13353,9000,60,0,27000,1,0
2332,3,0,1,15815,1749,22000,240,1,488000,2,1
2333,2,0,1,4044,7249,139000,240,0,224000,1,1
2334,3,1,1,966,17540,33000,180,0,306000,2,1
2335,4,1,1,7720,18879,70000,180,0,240000,1,0
2336,0,0,0,1371,4124,43000,60,1,35000,0,1
2337,1,1,0,670,6380,27000,240,1,416000,1,1
2338,0,0,1,6579,3362,26000,120,1,65000,1,1
2339,3,0,1,12391,9891,119000,240,0,485000,1,0
2340,5,1,1,9337,11498,143000,120,1,23000,0,1
2341,4,0,0,3790,5905,120000,60,1,73000,0,0
2342,3,1,0,15507,5805,40000,180,0,103000,0,0
2343,4,1,1,5783,666,8000,120,1,451000,1,1
2344,0,1,0,17738,7681,3000,120,0,52000,0,0
2345,3,0,1,610,8174,75000,180,0,45000,1,0
2346,5,0,1,9839,1925,33000,180,0,217000,1,0
2347,2,1,0,17455,2779,67000,120,1,389000,1,1
2348,1,0,0,1179,15932,59000,180,0,404000,1,0
2349,1,0,1,8548,12388,77000,180,0,86000,0,0
2350,4,1,0,3000,2716,32000,180,1,120000,2,1
2351,3,1,0,7148,12433,102000,120,1,215000,2,1
2352,4,1,1,414,18374,105000,120,0,293000,2,1
2353,3,0,1,19586,7081,3000,120,1,461000,1,1
2354,1,1,0,1984,4248,133000,180,0,412000,0,0
2355,5,0,1,7566,18270,58000,120,1,372000,0,0
2356,2,0,1,10024,993,51000,60,0,93000,0,0
2357,0,0,0,10863,11559,7000,240,1,283000,1,1
2358,5,0,0,6463,8661,134000,240,0,297000,2,0
2359,4,0,1,4025,9651,20000,120,1,197000,2,1
2360,1,1,0,8945,14017,2000,120,0,49000,1,1
2361,5,0,0,11680,14427,118000,60,1,47000,0,0
2362,5,1,0,11983,1792,7000,60,0,499000,2,0
2363,2,0,0,3733,7128,3000,120,0,96000,2,1
2364,1,0,1,1879,12335,32000,120,1,261000,0,1
2365,4,1,1,5680,19831,147000,180,1,457000,2,1
2366,4,0,1,17265,9597,95000,120,0,92000,2,0
2367,2,1,0,3631,11690,17000,60,1,374000,1,1
2368,0,1,0,6938,4070,131000,60,1,326000,1,1
2369,0,0,1,2653,8641,10000,120,1,353000,2,1
2370,2,0,0,2822,130,89000,240,0,287000,1,0
2371,4,1,1,16790,10648,137000,60,1,281000,2,1
2372,4,0,0,5249,11961,21000,60,1,137000,1,0
2373,0,0,0,17833,7345,37000,180,1,459000,2,1
2374,0,0,0,11991,10298,76000,120,1,65000,2,1
2375,1,1,1,12286,2309,135000,120,1,14000,0,1
2376,1,0,0,2324,17355,95000,240,0,89000,0,0
2377,0,0,1,17434,8503,26000,180,0,73000,2,1
2378,1,1,0,6669,6659,46000,240,0,36000,1,1
2379,4,0,1,18720,15594,58000,180,0,332000,0,0
2380,0,1,0,18625,9782,81000,60,0,76000,1,1
2381,1,0,1,6138,16755,148000,120,1,403000,1,1
2382,4,0,1,2074,7600,90000,60,0,486000,0,0
2383,1,1,0,5048,17361,144000,180,0,319000,1,1
2384,4,0,1,15287,8069,60000,120,0,278000,1,0
2385,2,1,1,15287,11931,117000,60,1,486000,2,1
2386,0,1,1,10670,7,52000,120,1,294000,1,1
2387,0,1,0,12293,7450,23000,60,0,14000,2,1
2388,0,0,0,11181,249,99000,240,1,421000,0,1
2389,4,1,0,18564,19865,139000,120,1,48000,0,0
2390,0,0,0,6818,10884,15000,240,0,348000,0,0
2391,3,1,1,9805,12506,61000,180,1,242000,0,1
2392,1,0,1,4060,10728,144000,240,1,220000,2,1
2393,5,1,0,8374,19850,116000,240,1,478000,2,1
2394,2,1,0,8273,14356,40000,180,1,272000,2,1
2395,4,0,0,2390,5367,101000,240,0,396000,1,0
2396,0,1,1,8577,13913,3000,240,0,368000,2,1
2397,4,0,0,12488,3648,138000,240,1,415000,0,0
2398,0,1,1,1338,11483,105000,120,1,347000,2,1
2399,4,0,0,13070,5389,34000,180,0,395000,0,0
2400,2,1,1,1788,7881,138000,60,0,102000,1,1
2401,5,1,0,312,2208,70000,120,1,214000,2,1
2402,1,1,1,1632,8847,8000,240,0,158000,0,1
2403,3,1,0,101,4332,62000,180,0,28000,2,0
2404,1,0,1,11508,6826,104000,60,0,219000,1,1
2405,0,0,1,4328,3493,41000,120,0,392000,0,0
2406,3,0,1,4041,3163,31000,180,0,133000,1,0
2407,4,0,1,15149,12728,35000,240,0,32000,2,0
2408,0,0,1,7857,5055,30000,180,1,226000,2,1
2409,4,1,0,6878,5692,67000,180,0,83000,0,0
2410,4,1,1,5698,2525,67000,180,0,493000,2,1
2411,3,0,0,6817,12263,41000,180,0,62000,1,0
2412,3,1,0,18112,13793,107000,120,1,358000,2,1
2413,1,1,1,6404,7077,127000,120,0,216000,1,1
2414,5,0,1,11802,904,107000,120,0,178000,0,0
2415,2,1,0,3163,8647,12000,60,1,26000,0,1
2416,2,0,1,11986,15068,102000,240,0,449000,2,1
2417,4,0,0,10728,6968,89500,120,1,18000,0,0
2418,0,0,1,1250,13123,77000,180,1,453000,1,1
2419,2,0,0,28,8342,133000,60,0,19000,0,0
2420,5,0,1,8061,3315,110000,180,0,2000,1,0
2421,4,0,0,11037,5918,102000,180,0,489000,2,0
2422,1,1,1,4052,10312,3000,60,1,332000,2,1
2423,1,0,0,7912,10696,61000,240,1,81000,2,1
2424,4,1,0,11098,16376,11000,120,0,128000,1,0
2425,5,1,1,11032,2100,110000,180,1,100000,0,1
2426,0,0,1,4521,12006,115000,180,0,66000,2,1
2427,1,1,1,1255,7332,29000,180,1,448000,0,1
2428,2,1,0,15589,18069,53000,120,1,73000,2,1
2429,5,0,0,10804,15852,76000,240,0,387000,2,0
2430,0,1,1,15809,15327,130000,120,0,31000,0,1
2431,1,1,0,6278,18631,61000,120,1,179000,2,1
2432,2,0,1,15105,4614,130000,180,1,440000,2,1
2433,2,1,0,13103,5323,3000,120,1,110000,2,1
2434,5,1,1,4063,13578,111000,180,1,146000,1,1
2435,0,1,1,14612,3455,33000,180,0,262000,2,1
2436,4,0,0,17425,8156,103000,60,0,15000,0,0
2437,5,0,0,19243,908,47000,60,1,72000,0,0
2438,5,1,0,5610,17010,30000,180,0,209000,2,0
2439,5,0,1,8709,5521,128000,240,0,129000,1,0
2440,3,1,1,14848,315,149000,120,0,217000,1,0
2441,0,0,0,12494,5691,125000,120,0,205000,1,0
2442,5,0,0,12077,12373,75000,60,0,283000,2,0
2443,1,1,0,12594,245,52000,240,1,255000,2,1
2444,2,0,0,5817,509,45000,240,1,473000,1,1
2445,2,1,0,9410,10395,141000,240,1,240000,1,1
2446,5,0,1,15768,10182,90000,180,0,115000,0,0
2447,2,1,1,7159,2069,106000,240,1,404000,1,1
2448,3,1,1,2352,3853,4000,180,0,233000,2,1
2449,3,0,1,2486,18625,59000,180,0,361000,2,0
2450,1,0,1,2973,6924,29000,120,0,50000,2,1
2451,5,1,1,5715,3345,5000,240,1,79000,2,1
2452,5,0,0,5399,17677,105000,240,0,237000,2,0
2453,0,1,0,19674,2775,95500,240,1,265000,2,1
2454,4,0,0,7540,2209,86000,240,1,149000,2,1
2455,0,1,1,876,6013,86000,240,0,228000,0,1
2456,0,1,1,7690,15921,118000,240,0,449000,0,1
2457,2,1,0,5863,8090,23000,180,0,197000,1,1
2458,1,1,1,1303,244,98000,180,1,484000,0,1
2459,5,1,0,12137,3137,80000,180,1,191000,0,0
2460,2,0,0,10052,2,45000,240,0,290000,0,0
2461,2,1,0,8885,11675,113000,180,1,247000,2,1
2462,1,1,1,19686,2407,51000,120,1,221000,1,1
2463,4,0,0,11574,2616,58000,240,1,255000,1,0
2464,0,0,1,1383,5243,69000,180,1,458000,2,1
2465,1,0,1,5795,7074,12000,240,0,73000,0,0
2466,3,1,0,9253,5842,79000,60,1,335000,1,1
2467,5,0,1,10691,18610,74000,120,0,332000,0,0
2468,5,1,0,1464,6095,64000,60,1,152000,1,1
2469,5,0,0,14931,838,34000,120,0,387000,1,0
2470,5,0,0,7033,8062,1000,240,0,387000,1,0
2471,2,1,0,12613,17907,136000,240,1,242000,0,1
2472,4,1,0,1889,9057,146000,240,1,393000,0,0
2473,4,1,1,10379,5303,62000,60,1,378000,0,1
2474,3,1,1,9039,2666,94000,180,1,202000,2,1
2475,3,1,1,10516,17841,12000,240,1,275000,2,1
2476,4,0,0,18765,555,55000,120,0,493000,0,0
2477,2,0,0,6069,15668,49000,60,0,307000,1,0
2478,1,0,1,8405,4906,95000,60,0,65000,2,1
2479,0,1,0,13547,8089,43000,180,1,369000,1,1
2480,4,1,0,9071,824,38000,240,1,479000,2,1
2481,1,0,1,14591,4181,136000,60,0,472000,1,1
2482,5,0,1,1470,2819,128000,120,1,324000,2,1
2483,0,0,0,7915,4011,83000,240,1,234000,0,1
2484,5,1,1,17084,7209,86000,60,1,480000,1,1
2485,2,0,0,5020,8803,119000,180,0,188000,0,0
2486,0,1,1,1346,3760,148000,240,0,280000,1,1
2487,5,1,0,2072,11098,29000,60,1,114000,0,0
2488,4,1,0,11692,10708,19000,60,0,244000,1,0
2489,4,1,0,2690,2810,55000,60,1,170000,2,1
2490,2,0,1,8348,6496,108000,240,1,17000,2,1
2491,2,1,0,12154,4813,115000,60,0,109000,1,1
2492,2,0,1,4413,11296,82000,120,1,53000,0,1
2493,5,0,1,4138,9966,36000,60,1,18000,0,0
2494,3,1,1,2826,12085,84000,240,0,412000,2,1
2495,0,1,1,13662,3233,34000,240,1,230000,1,1
2496,1,0,0,4272,13290,3000,60,0,430000,1,0
2497,1,0,1,5075,18467,42000,240,1,215000,0,1
2498,0,1,0,11025,8007,74000,180,1,425000,2,1
2499,1,1,0,2323,4004,107000,180,0,5000,0,0
2500,3,1,1,170,12708,82000,240,0,410000,0,0
2501,3,1,1,7359,2612,80000,180,1,74000,1,1
2502,3,1,1,7798,8927,138000,60,0,70000,2,1
2503,2,0,0,1197,17947,30000,120,0,30000,1,0
2504,1,1,1,9492,2512,132000,240,0,6000,0,1
2505,4,0,0,4084,10477,24000,180,0,462000,0,0
2506,4,0,1,1734,16253,132000,180,0,431000,0,0
2507,4,1,0,16965,12509,38000,240,0,335000,0,0
2508,4,1,1,3131,937,59000,60,0,179000,0,0
2509,1,1,1,9212,9937,127000,240,1,134000,0,1
2510,2,0,1,7759,12626,62000,180,1,180000,2,1
2511,5,1,1,7991,2486,71000,120,1,294000,0,1
2512,5,1,1,16753,10459,143000,180,0,149000,2,1
2513,3,0,0,3621,17300,135000,60,1,154000,2,1
2514,3,1,1,7685,11366,114000,180,0,167000,2,1
2515,3,0,1,7107,19973,68000,60,1,176000,2,1
2516,5,0,0,618,6630,90000,120,1,401000,0,0
2517,3,0,0,4002,17058,101000,120,0,418000,0,0
2518,1,0,0,14846,2996,9000,120,1,355000,0,1
2519,0,1,1,2957,2206,104000,240,0,20000,1,1
2520,5,1,1,736,18464,149000,60,1,420000,0,1
2521,4,0,0,489,406,76000,120,0,69000,0,0
2522,4,1,1,13462,16265,10000,60,1,266000,1,1
2523,3,0,1,5884,2472,112000,120,0,142000,1,0
2524,3,1,0,272,14383,26000,180,1,45000,1,1
2525,2,0,1,19283,4260,9000,60,0,108000,2,1
2526,1,0,1,17004,5640,126000,60,0,180000,0,0
2527,0,1,1,6398,17216,111000,60,1,132000,0,1
2528,5,1,0,11035,6962,114000,60,0,12000,0,0
2529,2,0,1,1247,8592,76000,180,0,301000,1,1
2530,2,1,0,1283,6057,92000,180,0,233000,0,0
2531,5,1,0,10947,10229,21000,60,0,361000,0,0
2532,5,0,1,4774,10905,119000,60,1,417000,2,1
2533,3,0,1,8879,1940,1000,60,1,252000,2,1
2534,3,1,0,18242,15830,70000,120,0,351000,2,0
2535,5,1,0,6878,2858,131000,120,1,429000,0,0
2536,0,0,0,9017,12137,113000,60,1,193000,0,1
2537,1,0,0,8009,3551,120000,180,1,201000,2,1
2538,5,0,1,18932,6828,132000,240,1,497000,0,0
2539,2,0,1,6407,9784,132000,60,0,262000,2,1
2540,1,0,1,15940,10586,82000,120,1,369000,2,1
2541,0,1,0,2519,9392,17000,120,1,52000,0,1
2542,4,0,1,8264,17280,48000,120,0,265000,1,0
2543,1,0,0,19772,2953,108000,240,1,94000,2,1
2544,2,0,0,8085,13624,58000,60,1,325000,1,1
2545,0,0,0,839,8031,117000,120,1,95000,1,1
2546,1,1,1,7250,19511,140000,240,0,355000,2,1
2547,4,0,0,9083,2781,88000,120,0,214000,1,0
2548,3,1,0,2659,7045,22000,120,0,355000,2,0
2549,0,0,1,11628,18676,15000,180,0,36000,1,1
2550,5,0,0,19337,4333,5000,120,1,392000,1,0
2551,1,0,1,2441,4745,56000,120,0,377000,2,1
2552,3,0,0,7143,7765,7000,240,1,37000,0,0
2553,1,1,0,9084,11406,42000,120,1,28000,1,1
2554,5,1,1,839,4207,72000,240,1,453000,1,1
2555,2,1,1,8751,15379,29000,240,1,275000,1,1
2556,4,0,0,8382,13616,131000,180,1,299000,0,0
2557,4,0,0,18960,637,135000,120,0,273000,0,0
2558,0,0,0,12076,2433,92000,120,0,485000,1,0
2559,0,1,0,7255,4919,94500,120,0,338000,1,1
2560,4,1,1,18088,8084,97000,120,1,206000,0,1
2561,1,1,0,15463,2920,131000,180,1,442000,0,1
2562,5,0,0,1083,2361,65000,120,1,458000,1,0
2563,5,1,0,5011,17029,91000,60,1,436000,1,1
2564,3,1,1,19051,19984,121000,240,0,150000,1,0
2565,1,1,1,15459,10920,94000,240,1,389000,0,1
2566,0,0,0,12316,8609,140000,180,0,400000,2,1
2567,4,0,0,18455,705,41000,240,1,63000,2,1
2568,5,0,0,2673,1931,119000,60,1,169000,2,1
2569,2,0,1,14634,10475,31000,120,1,152000,0,1
2570,5,1,1,13016,4473,19000,180,0,348000,0,0
2571,4,1,0,9690,9890,112000,120,1,36000,0,0
2572,2,1,0,3366,10971,17000,240,0,289000,0,0
2573,3,1,0,6054,13843,146000,240,1,9000,1,1
2574,2,1,1,13504,11955,60000,180,1,471000,0,1
2575,4,1,0,9017,5267,21000,180,0,105000,1,0
2576,0,1,1,7675,334,21000,120,0,470000,0,1
2577,4,0,0,2822,2804,121000,60,0,368000,1,0
2578,2,0,1,16646,5045,13000,120,0,281000,1,1
2579,1,0,1,8787,14837,145000,120,0,39000,2,1
2580,3,0,1,15174,8708,123000,60,0,242000,2,0
2581,3,0,1,12059,1178,101000,240,0,433000,1,0
2582,1,0,0,16962,15803,39000,240,0,218000,2,1
2583,3,0,1,11982,7739,97000,180,1,232000,2,1
2584,4,1,1,6848,9107,81000,180,0,40000,0,0
2585,1,0,0,1915,11648,37000,120,1,99000,1,1
2586,5,1,1,3822,1363,79000,120,1,216000,2,1
2587,5,1,1,14257,13645,144000,60,1,446000,2,1
2588,4,1,1,17573,4194,42000,240,1,229000,0,1
2589,2,1,0,11426,12633,99000,120,0,154000,2,1
